task,solution,status
Zahn,"<span class=""der"">der</span>",0
Arzt,"<span class=""der"">der</span>",0
Tanz,"<span class=""der"">der</span>",0
Sand,"<span class=""der"">der</span>",0
Wohnort,"<span class=""der"">der</span>",0
Beruf,"<span class=""der"">der</span>",0
See,"<span class=""der"">der</span>",0
Dom,"<span class=""der"">der</span>",0
Alter,"<span class=""das"">das</span>",0
Hobby,"<span class=""das"">das</span>",0
Schloss,"<span class=""das"">das</span>",0
Fachwerkhaus,"<span class=""das"">das</span>",0
Vollholzhaus,"<span class=""das"">das</span>",0
Bundesland,"<span class=""das"">das</span>",0
Wappen,"<span class=""das"">das</span>",0
Schiff,"<span class=""das"">das</span>",0
Boot,"<span class=""das"">das</span>",0
Fenster,"<span class=""das"">das</span>",0
Brot,"<span class=""das"">das</span>",0
Sauerkraut,"<span class=""das"">das</span>",0
Fleisch,"<span class=""das"">das</span>",0
Dessert,"<span class=""das"">das</span>",0
Alphabet,"<span class=""das"">das</span>",0
Essen,"<span class=""das"">das</span>",0
Glück,"<span class=""das"">das</span>",0
Sofa,"<span class=""das"">das</span>",0
Tier,"<span class=""das"">das</span>",0
Ufer,"<span class=""das"">das</span>",0
Wort,"<span class=""das"">das</span>",0
Zebra,"<span class=""das"">das</span>",0
Meer,"<span class=""das"">das</span>",0
Komma,"<span class=""das"">das</span>",0
Öl,"<span class=""das"">das</span>",0
Geräusch,"<span class=""das"">das</span>",0
Ei,"<span class=""das"">das</span>",0
Aussieht,"<span class=""der"">der</span>",0
Kürbis,"<span class=""der"">der</span>",0
Nachtisch,"<span class=""der"">der</span>",0
Kuchen,"<span class=""der"">der</span>",0
Dichter,"<span class=""der"">der</span>",0
Denker,"<span class=""der"">der</span>",0
Abschnitt,"<span class=""der"">der</span>",0
Großbuchstabe,"<span class=""der"">der</span>",0
Hunger,"<span class=""der"">der</span>",0
Igel,"<span class=""der"">der</span>",0
Rauch,"<span class=""der"">der</span>",0
Vogel,"<span class=""der"">der</span>",0
Ärger,"<span class=""der"">der</span>",0
Juni,"<span class=""der"">der</span>",0
Januar,"<span class=""der"">der</span>",0
Sport,"<span class=""der"">der</span>",0
Spaß,"<span class=""der"">der</span>",0
Stuhl,"<span class=""der"">der</span>",0
Dieb,"<span class=""der"">der</span>",0
Füß,"<span class=""der"">der</span>",0
Saal,"<span class=""der"">der</span>",0
Zoo,"<span class=""der"">der</span>",0
Sache,"<span class=""die"">die</span>",0
Herkunft,"<span class=""die"">die</span>",0
Sprache,"<span class=""die"">die</span>",0
Kathedrale,"<span class=""die"">die</span>",0
Einwohnerzahl,"<span class=""die"">die</span>",0
Fähre,"<span class=""die"">die</span>",0
Treppe,"<span class=""die"">die</span>",0
Landschaft,"<span class=""die"">die</span>",0
