verb,ich,du,er;sie;es,wir,ihr,sie;Sie,status
"lernen <p class=""tense"">present</p><p class=""verb_meaning"">learn</p>","lern<span class=""ending"">e</span>","lern<span class=""ending"">st</span>","lern<span class=""ending"">t</span>","lern<span class=""ending"">en</span>","lern<span class=""ending"">t</span>","lern<span class=""ending"">en</span>",0
"reden  <p class=""tense"">present</p><p class=""verb_meaning"">read</p>","red<span class=""ending"">e</span>","rede<span class=""ending"">st</span>","rede<span class=""ending"">t</span>","red<span class=""ending"">en</span>","rede<span class=""ending"">t</span>","red<span class=""ending"">en</span>",0
"antworten <p class=""tense"">present</p><p class=""verb_meaning"">answer</p>","antwort<span class=""ending"">e</span>","antworte<span class=""ending"">st</span>","antworte<span class=""ending"">t</span>","antwort<span class=""ending"">en</span>","antworte<span class=""ending"">t</span>","antwort<span class=""ending"">en</span>",0
"atmen <p class=""tense"">present</p><p class=""verb_meaning"">breath</p>","atm<span class=""ending"">e</span>","atme<span class=""ending"">st</span>","atme<span class=""ending"">t</span>","atm<span class=""ending"">en</span>","atme<span class=""ending"">t</span>","atm<span class=""ending"">en</span>",0
"öffnen <p class=""tense"">present</p><p class=""verb_meaning"">open</p>","öffn<span class=""ending"">e</span>","öffne<span class=""ending"">st</span>","öffne<span class=""ending"">t</span>","öffn<span class=""ending"">en</span>","öffne<span class=""ending"">t</span>","öffn<span class=""ending"">en</span>",0
"arbeiten <p class=""tense"">present</p><p class=""verb_meaning"">work</p>","arbeit<span class=""ending"">e</span>","arbeite<span class=""ending"">st</span>","arbeite<span class=""ending"">t</span>","arbeit<span class=""ending"">en</span>","arbeite<span class=""ending"">t</span>","arbeit<span class=""ending"">en</span>",0
"begegnen <p class=""tense"">present</p><p class=""verb_meaning"">come across</p>","begegn<span class=""ending"">e</span>","begegne<span class=""ending"">st</span>","begegne<span class=""ending"">t</span>","begegn<span class=""ending"">en</span>","begegne<span class=""ending"">t</span>","begegn<span class=""ending"">en</span>",0
"beobachten <p class=""tense"">present</p><p class=""verb_meaning"">observe sb</p>","beobacht<span class=""ending"">e</span>","beobachte<span class=""ending"">st</span>","beobachte<span class=""ending"">t</span>","beobacht<span class=""ending"">en</span>","beobachte<span class=""ending"">t</span>","beobacht<span class=""ending"">en</span>",0
"beweisen <p class=""tense"">present</p><p class=""verb_meaning"">prove</p>","beweis<span class=""ending"">e</span>","beweis<span class=""ending"">t</span>","beweis<span class=""ending"">t</span>","beweis<span class=""ending"">en</span>","beweis<span class=""ending"">t</span>","beweis<span class=""ending"">en</span>",0
"bilden <p class=""tense"">present</p><p class=""verb_meaning"">form</p>","bild<span class=""ending"">e</span>","bilde<span class=""ending"">st</span>","bilde<span class=""ending"">t</span>","bild<span class=""ending"">en</span>","bilde<span class=""ending"">t</span>","bild<span class=""ending"">en</span>",0
"finden <p class=""tense"">present</p><p class=""verb_meaning"">find</p>","find<span class=""ending"">e</span>","finde<span class=""ending"">st</span>","finde<span class=""ending"">t</span>","find<span class=""ending"">en</span>","finde<span class=""ending"">t</span>","find<span class=""ending"">en</span>",0
"gründen <p class=""tense"">present</p><p class=""verb_meaning"">to found</p>","gründ<span class=""ending"">e</span>","gründe<span class=""ending"">st</span>","gründe<span class=""ending"">t</span>","gründ<span class=""ending"">en</span>","gründe<span class=""ending"">t</span>","gründ<span class=""ending"">en</span>",0
