task,solution,status
great,großartig,0
play,spielen,0
stand,stehen,0
nice,schön,0
already,schon,0
light weight,leicht,0
see you soon,bis bald,0
sweet,süß,0
I work as ...,Ich arbeite als ...,0
My hobbies are ...,Meine Hobbys sind ...,0
colorful,bunt,0
German food,deutsches Essen,0
introduce oneself,sich vorstellen,0
großartig,great,0
spielen,play,0
stehen,stand,0
schön,nice,0
schon,already,0
leicht,light weight,0
bis bald,see you soon,0
süß,sweet,0
Ich arbeite als ...,I work as ...,0
Meine Hobbys sind ...,My hobbies are ...,0
bunt,colorful,0
deutsches Essen,German food,0
sich vorstellen,introduce oneself,0
